context,response
anyone here uses 7zip to unpack rar files,or what do you use for unpacking rar files
i want to change my boot loader linux it's possible to help me,what do you want to change
because the suport on kubuntu isn't that good and that kde looks like crap in general,go to a kde channel or kubuntu maby more awnsers there
is this for ubuntu,yes
just use sshfs and mount your remote share wherever you want,oh that's cool can you mount sshfs on windows and android
how do i install windows xp on virtual box,how do i see how much ram i have
all of us want to get the answer of the question but,me too
and it will still find 2 cores right,but get a better kernel at least something with 686
how to update from 1110 to 1204 without reinstall,updatemanager d but note that 1204 is not released and not supported
me too but rather a concern for ubuntuofftopic,danke
httpubuntututorialscom20070718removingkdeiconsingnomeremovegnomeiconsinkde,thank you i'll take a look
brasero doesnt work total mess,always says error while burning plus it cant eject
how can i disable pae in ubuntu 1110,install a non pae kernel
ifconfig,doesn't that just show the private stuff
do you get any messages concerning it's trying to start,i suppose from this you could then search about on the forums
if i save a txt file on a floppy from windows will i be able to view it on ubuntu,nothing special needed
i was looking for grip too and found it missing,oh
if you are running ubuntu as livecd how do u get mp3 to work,pulshion which codecs
i should restart anjuta after installing it,ah yes
never wait until next release or when backports open up,stability is important
as a client you should connect to the submission port 587 of their mail server to relay,are you sure they are blocking 25 for the mail relay that seems unlikely
use gaim instead,ah ok gaim cheers
thanks for nothing,that attitude won't get you help
be prepared to meet a huge amount of spammers trolls newbies and other creatures then,thanksthis channel is running way faster than the irc channels i visited at calpoly15 years ago
what's the latest ubuntu version,904
well no but yes it a livecd,ok hopefully it supports intel 5100 out of the box disc
no this is gnomedictionary app whatever it's called,it access a dictd server
has anyone got any experience with c and is prepared to answer a basic question on security about format strings,this is an inapropriate channel try c
810 is 2008 october 804 is 2008 april lts hardy heron 810 is intrepid ibex or something,810 isn't out yet 804 has newer kernel than 710
how can i use yahoo messenger in ubuntu,sssss
what's the best song to record sound with,one that plays
what is a good torrent client for ubuntu something similar to utorrent but not azereus,transmission is god
what kind of gpu u got,just an intel imbedded gpu
how do i kill xserver from console and return to a command shell,altf7
hi there is there someone who knows apache config well to help me out query me please,i might
citrix,i will work on it tomorrow
wish i knew why i need it though is very annoying,if its a laptop it gives battery levels
my ipod touch keeps connecting and siconnecting really quickly,disconnect it power down power up reconnect it
hi,can anyone remind me how to install kernel healers please
help with targz installation pls,say wut
lol nice trollfeeding there,i don't know anyone personally that thinks changing it was a good idea
later is always better memtest is always upgrading to account for newer bioses,ok i guess it doesn't matter then since this bios is about 8 years old
neutrinos will allow time travel,too early to tell
is breezy still text installer or is now gui,breezy is text
is ubuntucom not accessible right now any idea,came right up for me
where are all the ops,around
i think you can add the module to the bottom of etcmodules and it will start on boot,that works just fine too
wait what,i use mc also
i was wondering if anyone knew anything about the canon ip2600,did you check manufacturers site for linux driver
clicking control alt backspace booted me from everything was that a trick,nope it said that nautilus cannot start do to an unexpected error
and test it,do you have a headset you can tryin in the headset plug
i really am willing to pay for a linux if it was well configured for my needs,my time is valuable too and if i save more on time than on linux i'll get my money
can no one help me,what was the question
like what kind of command,how about date
i have apache and php installed is there an aptget for mysql,mysqlclient and mysqlserver
nobody knows how to automatically start an application on a workspace other then 1,there is app called devilspie that does that
ot flameon,nassty
how do i add another user,systemadministrationusers and groups
why dont the glib packages install the headers,cause you need to install the dev package
